ID,Класс,Пол,Уровень тревожности (1-10),Пропуски занятий,Оценка отношений с учителями (1-5),Возраст,Предмет_1,Оценка_1,Предмет_2,Оценка_2,Предмет_3,Оценка_3,Предмет_4,Оценка_4,Предмет_5,Оценка_5,Предмет_6,Оценка_6,Предмет_7,Оценка_7,Предмет_8,Оценка_8,Предмет_9,Оценка_9,Предмет_10,Оценка_10,Предмет_11,Оценка_11,Предмет_12,Оценка_12,Предмет_13,Оценка_13,Предмет_14,Оценка_14,Предмет_15,Оценка_15,Предмет_16,Оценка_16,Когнитивные способности,Результаты анкет,Средний балл,Диагностика профиля способностей и достижений,Сильные стороны,Слабые стороны,Cluster,Прогнозные значения
1,7,М,3,4,2,15,Русский язык,3,Литература,4,Иностранный язык,4,Алгебра,5,Геометрия,4,Информатика,4,История России,5,Всеобщая история,4,Обществознание,4,География,5,Физика,2,Музыка,4,Биология,5,Технология,4,Основы безопасности жизнедеятельности,2,Физическая культура,4,69,2,3.933333333333333,Выше среднего,"Алгебра, История России, География, Биология","Физика, Основы безопасности жизнедеятельности",3,2.23
2,7,Ж,9,0,1,14,Русский язык,2,Литература,3,Иностранный язык,2,Алгебра,4,Геометрия,5,Информатика,4,История России,4,Всеобщая история,4,Обществознание,3,География,3,Физика,3,Музыка,5,Биология,3,Технология,5,Основы безопасности жизнедеятельности,3,Физическая культура,3,58,5,3.4,Нуждается в улучшении,"Геометрия, Технология","Русский язык, Иностранный язык",2,1.89
3,7,Ж,5,4,3,15,Русский язык,2,Литература,3,Иностранный язык,4,Алгебра,5,Геометрия,5,Информатика,4,История России,5,Всеобщая история,5,Обществознание,4,География,5,Физика,4,Музыка,4,Биология,5,Технология,3,Основы безопасности жизнедеятельности,5,Физическая культура,2,80,1,4.066666666666666,Выше среднего,"Алгебра, Геометрия, История России, Всеобщая история, География, Биология, Основы безопасности жизнедеятельности","Русский язык, Физическая культура",3,3.066666666666667
4,7,Ж,3,1,5,15,Русский язык,5,Литература,4,Иностранный язык,4,Алгебра,5,Геометрия,5,Информатика,5,История России,3,Всеобщая история,4,Обществознание,4,География,2,Физика,3,Музыка,4,Биология,3,Технология,2,Основы безопасности жизнедеятельности,2,Физическая культура,3,95,5,3.6,Выше среднего,"Русский язык, Алгебра, Геометрия, Информатика","География, Технология, Основы безопасности жизнедеятельности",1,4.27
5,7,М,1,3,5,14,Русский язык,4,Литература,4,Иностранный язык,5,Алгебра,3,Геометрия,5,Информатика,5,История России,4,Всеобщая история,5,Обществознание,5,География,4,Физика,3,Музыка,3,Биология,5,Технология,4,Основы безопасности жизнедеятельности,3,Физическая культура,5,77,3,4.266666666666667,Выше среднего,"Иностранный язык, Геометрия, Информатика, Всеобщая история, Обществознание, Биология, Физическая культура",,3,4.55
6,7,М,10,1,2,14,Русский язык,4,Литература,3,Иностранный язык,3,Алгебра,2,Геометрия,3,Информатика,5,История России,5,Всеобщая история,2,Обществознание,2,География,4,Физика,4,Музыка,4,Биология,3,Технология,4,Основы безопасности жизнедеятельности,5,Физическая культура,5,84,3,3.6,Выше среднего,"Информатика, История России, Основы безопасности жизнедеятельности, Физическая культура","Алгебра, Всеобщая история, Обществознание",0,2.41
7,7,М,6,4,2,15,Русский язык,5,Литература,5,Иностранный язык,4,Алгебра,2,Геометрия,4,Информатика,5,История России,2,Всеобщая история,2,Обществознание,5,География,4,Физика,5,Музыка,4,Биология,3,Технология,3,Основы безопасности жизнедеятельности,2,Физическая культура,3,89,5,3.6,Выше среднего,"Русский язык, Литература, Информатика, Обществознание, Физика","Алгебра, История России, Всеобщая история, Основы безопасности жизнедеятельности",0,2.41
8,7,Ж,2,0,3,15,Русский язык,4,Литература,5,Иностранный язык,5,Алгебра,3,Геометрия,4,Информатика,3,История России,5,Всеобщая история,5,Обществознание,5,География,5,Физика,5,Музыка,3,Биология,2,Технология,4,Основы безопасности жизнедеятельности,2,Физическая культура,2,87,3,3.933333333333333,Выше среднего,"Литература, Иностранный язык, История России, Всеобщая история, Обществознание, География, Физика","Биология, Основы безопасности жизнедеятельности, Физическая культура",1,2.97
9,7,Ж,3,2,1,14,Русский язык,4,Литература,5,Иностранный язык,3,Алгебра,4,Геометрия,3,Информатика,4,История России,3,Всеобщая история,2,Обществознание,5,География,5,Физика,5,Музыка,3,Биология,3,Технология,2,Основы безопасности жизнедеятельности,2,Физическая культура,3,93,2,3.533333333333333,Выше среднего,"Литература, Обществознание, География, Физика","Всеобщая история, Технология, Основы безопасности жизнедеятельности",1,1.82
10,7,Ж,1,5,5,14,Русский язык,5,Литература,3,Иностранный язык,2,Алгебра,5,Геометрия,3,Информатика,4,История России,5,Всеобщая история,3,Обществознание,4,География,5,Физика,4,Музыка,2,Биология,3,Технология,4,Основы безопасности жизнедеятельности,4,Физическая культура,5,51,3,3.933333333333333,Выше среднего,"Русский язык, Алгебра, История России, География, Физическая культура",Иностранный язык,2,4.58
11,7,М,9,5,3,15,Русский язык,2,Литература,5,Иностранный язык,5,Алгебра,5,Геометрия,2,Информатика,4,История России,3,Всеобщая история,4,Обществознание,4,География,3,Физика,3,Музыка,2,Биология,4,Технология,3,Основы безопасности жизнедеятельности,5,Физическая культура,2,52,2,3.6,Выше среднего,"Литература, Иностранный язык, Алгебра, Основы безопасности жизнедеятельности","Русский язык, Геометрия, Физическая культура",1,2.91
12,7,Ж,8,4,4,15,Русский язык,3,Литература,3,Иностранный язык,4,Алгебра,2,Геометрия,5,Информатика,4,История России,3,Всеобщая история,5,Обществознание,5,География,4,Физика,4,Музыка,2,Биология,5,Технология,2,Основы безопасности жизнедеятельности,4,Физическая культура,4,63,4,3.8,Выше среднего,"Геометрия, Всеобщая история, Обществознание, Биология","Алгебра, Технология",1,3.64
13,7,Ж,2,0,4,15,Русский язык,5,Литература,2,Иностранный язык,4,Алгебра,5,Геометрия,3,Информатика,2,История России,2,Всеобщая история,3,Обществознание,4,География,4,Физика,3,Музыка,3,Биология,3,Технология,5,Основы безопасности жизнедеятельности,2,Физическая культура,3,66,1,3.333333333333333,Нуждается в улучшении,"Русский язык, Алгебра, Технология","Литература, Информатика, История России, Основы безопасности жизнедеятельности",1,3.21
14,7,Ж,8,3,3,14,Русский язык,5,Литература,5,Иностранный язык,4,Алгебра,3,Геометрия,5,Информатика,2,История России,5,Всеобщая история,2,Обществознание,4,География,2,Физика,2,Музыка,3,Биология,3,Технология,4,Основы безопасности жизнедеятельности,3,Физическая культура,4,84,1,3.533333333333333,Выше среднего,"Русский язык, Литература, Геометрия, История России","Информатика, Всеобщая история, География, Физика",2,3.16
15,7,Ж,9,1,5,15,Русский язык,5,Литература,4,Иностранный язык,2,Алгебра,5,Геометрия,4,Информатика,5,История России,3,Всеобщая история,4,Обществознание,3,География,5,Физика,3,Музыка,4,Биология,4,Технология,5,Основы безопасности жизнедеятельности,4,Физическая культура,2,53,3,3.866666666666666,Выше среднего,"Русский язык, Алгебра, Информатика, География, Технология","Иностранный язык, Физическая культура",0,4.68
16,7,М,1,1,3,14,Русский язык,4,Литература,4,Иностранный язык,5,Алгебра,3,Геометрия,4,Информатика,4,История России,4,Всеобщая история,4,Обществознание,2,География,5,Физика,3,Музыка,4,Биология,2,Технология,2,Основы безопасности жизнедеятельности,4,Физическая культура,3,96,1,3.533333333333333,Выше среднего,"Иностранный язык, География","Обществознание, Биология, Технология",1,3.0
17,7,М,5,1,5,14,Русский язык,5,Литература,4,Иностранный язык,3,Алгебра,2,Геометрия,3,Информатика,3,История России,4,Всеобщая история,3,Обществознание,3,География,3,Физика,4,Музыка,5,Биология,5,Технология,2,Основы безопасности жизнедеятельности,4,Физическая культура,4,79,4,3.466666666666667,Нуждается в улучшении,"Русский язык, Биология","Алгебра, Технология",0,4.26
18,7,Ж,8,3,2,14,Русский язык,2,Литература,2,Иностранный язык,3,Алгебра,3,Геометрия,4,Информатика,3,История России,3,Всеобщая история,5,Обществознание,4,География,5,Физика,4,Музыка,3,Биология,3,Технология,4,Основы безопасности жизнедеятельности,4,Физическая культура,4,88,3,3.533333333333333,Выше среднего,"Всеобщая история, География","Русский язык, Литература",3,2.39
19,7,М,2,5,3,15,Русский язык,2,Литература,4,Иностранный язык,3,Алгебра,5,Геометрия,3,Информатика,4,История России,5,Всеобщая история,4,Обществознание,4,География,5,Физика,2,Музыка,3,Биология,4,Технология,3,Основы безопасности жизнедеятельности,5,Физическая культура,5,63,2,3.866666666666666,Выше среднего,"Алгебра, История России, География, Основы безопасности жизнедеятельности, Физическая культура","Русский язык, Физика",3,3.27
20,7,М,4,0,5,15,Русский язык,3,Литература,3,Иностранный язык,3,Алгебра,3,Геометрия,3,Информатика,3,История России,2,Всеобщая история,5,Обществознание,2,География,3,Физика,5,Музыка,5,Биология,3,Технология,2,Основы безопасности жизнедеятельности,3,Физическая культура,3,97,4,3.066666666666667,Нуждается в улучшении,"Всеобщая история, Физика","История России, Обществознание, Технология",1,4.39
21,7,Ж,7,3,3,15,Русский язык,4,Литература,4,Иностранный язык,5,Алгебра,3,Геометрия,5,Информатика,3,История России,4,Всеобщая история,3,Обществознание,5,География,3,Физика,4,Музыка,3,Биология,2,Технология,3,Основы безопасности жизнедеятельности,3,Физическая культура,4,76,4,3.6666666666666665,Выше среднего,"Иностранный язык, Геометрия, Обществознание",Биология,1,3.12
22,7,Ж,3,1,3,14,Русский язык,3,Литература,3,Иностранный язык,5,Алгебра,5,Геометрия,4,Информатика,2,История России,4,Всеобщая история,4,Обществознание,4,География,5,Физика,4,Музыка,5,Биология,5,Технология,3,Основы безопасности жизнедеятельности,5,Физическая культура,3,62,1,3.933333333333333,Выше среднего,"Иностранный язык, Алгебра, География, Биология, Основы безопасности жизнедеятельности",Информатика,3,2.69
23,7,М,5,4,5,15,Русский язык,3,Литература,5,Иностранный язык,5,Алгебра,5,Геометрия,2,Информатика,2,История России,3,Всеобщая история,5,Обществознание,4,География,4,Физика,5,Музыка,4,Биология,3,Технология,3,Основы безопасности жизнедеятельности,3,Физическая культура,4,69,2,3.733333333333333,Выше среднего,"Литература, Иностранный язык, Алгебра, Всеобщая история, Физика","Геометрия, Информатика",1,4.2
24,7,Ж,8,2,5,14,Русский язык,3,Литература,4,Иностранный язык,3,Алгебра,2,Геометрия,5,Информатика,3,История России,3,Всеобщая история,4,Обществознание,5,География,3,Физика,2,Музыка,4,Биология,5,Технология,5,Основы безопасности жизнедеятельности,3,Физическая культура,2,98,5,3.466666666666667,Нуждается в улучшении,"Геометрия, Обществознание, Биология, Технология","Алгебра, Физика, Физическая культура",3,3.28
25,7,М,10,3,1,14,Русский язык,4,Литература,4,Иностранный язык,4,Алгебра,4,Геометрия,2,Информатика,4,История России,4,Всеобщая история,3,Обществознание,3,География,4,Физика,5,Музыка,2,Биология,4,Технология,3,Основы безопасности жизнедеятельности,4,Физическая культура,2,98,4,3.6,Выше среднего,Физика,"Геометрия, Физическая культура",1,1.8
26,7,Ж,3,3,3,14,Русский язык,5,Литература,5,Иностранный язык,4,Алгебра,3,Геометрия,3,Информатика,2,История России,5,Всеобщая история,5,Обществознание,5,География,4,Физика,3,Музыка,5,Биология,5,Технология,4,Основы безопасности жизнедеятельности,3,Физическая культура,3,73,1,3.933333333333333,Выше среднего,"Русский язык, Литература, История России, Всеобщая история, Обществознание, Биология",Информатика,2,2.7
27,7,М,4,0,4,14,Русский язык,4,Литература,4,Иностранный язык,5,Алгебра,3,Геометрия,4,Информатика,3,История России,2,Всеобщая история,4,Обществознание,4,География,4,Физика,4,Музыка,2,Биология,5,Технология,2,Основы безопасности жизнедеятельности,3,Физическая культура,3,59,4,3.6,Выше среднего,"Иностранный язык, Биология","История России, Технология",1,3.65
28,7,Ж,9,0,3,14,Русский язык,2,Литература,2,Иностранный язык,4,Алгебра,4,Геометрия,2,Информатика,4,История России,3,Всеобщая история,5,Обществознание,4,География,4,Физика,5,Музыка,3,Биология,3,Технология,5,Основы безопасности жизнедеятельности,5,Физическая культура,4,56,2,3.733333333333333,Выше среднего,"Всеобщая история, Физика, Технология, Основы безопасности жизнедеятельности","Русский язык, Литература, Геометрия",1,2.71
29,7,М,7,3,3,14,Русский язык,4,Литература,2,Иностранный язык,3,Алгебра,3,Геометрия,4,Информатика,5,История России,5,Всеобщая история,2,Обществознание,3,География,4,Физика,4,Музыка,4,Биология,5,Технология,3,Основы безопасности жизнедеятельности,2,Физическая культура,4,66,2,3.533333333333333,Выше среднего,"Информатика, История России, Биология","Литература, Всеобщая история, Основы безопасности жизнедеятельности",0,3.14
30,7,М,1,1,5,15,Русский язык,4,Литература,4,Иностранный язык,3,Алгебра,4,Геометрия,4,Информатика,3,История России,2,Всеобщая история,4,Обществознание,3,География,4,Физика,2,Музыка,4,Биология,2,Технология,3,Основы безопасности жизнедеятельности,3,Физическая культура,4,71,3,3.2666666666666666,Нуждается в улучшении,,"История России, Физика, Биология",1,3.86
31,7,М,4,2,3,14,Русский язык,4,Литература,3,Иностранный язык,3,Алгебра,4,Геометрия,4,Информатика,4,История России,4,Всеобщая история,5,Обществознание,4,География,5,Физика,2,Музыка,5,Биология,4,Технология,2,Основы безопасности жизнедеятельности,2,Физическая культура,2,93,5,3.466666666666667,Нуждается в улучшении,"Всеобщая история, География","Физика, Технология, Основы безопасности жизнедеятельности, Физическая культура",2,3.3
32,7,Ж,4,0,3,15,Русский язык,3,Литература,4,Иностранный язык,4,Алгебра,4,Геометрия,3,Информатика,5,История России,4,Всеобщая история,4,Обществознание,3,География,5,Физика,3,Музыка,2,Биология,4,Технология,3,Основы безопасности жизнедеятельности,5,Физическая культура,3,60,5,3.8,Выше среднего,"Информатика, География, Основы безопасности жизнедеятельности",,3,2.1
33,7,М,9,1,4,14,Русский язык,4,Литература,3,Иностранный язык,5,Алгебра,4,Геометрия,3,Информатика,5,История России,3,Всеобщая история,3,Обществознание,3,География,4,Физика,5,Музыка,4,Биология,4,Технология,5,Основы безопасности жизнедеятельности,3,Физическая культура,2,91,1,3.733333333333333,Выше среднего,"Иностранный язык, Информатика, Физика, Технология",Физическая культура,0,3.72
34,7,М,6,4,5,15,Русский язык,5,Литература,3,Иностранный язык,3,Алгебра,4,Геометрия,3,Информатика,5,История России,4,Всеобщая история,2,Обществознание,5,География,5,Физика,3,Музыка,4,Биология,3,Технология,3,Основы безопасности жизнедеятельности,5,Физическая культура,2,72,5,3.6666666666666665,Выше среднего,"Русский язык, Информатика, Обществознание, География, Основы безопасности жизнедеятельности","Всеобщая история, Физическая культура",0,3.2
35,7,Ж,9,0,3,15,Русский язык,2,Литература,4,Иностранный язык,2,Алгебра,3,Геометрия,5,Информатика,4,История России,5,Всеобщая история,3,Обществознание,4,География,5,Физика,3,Музыка,3,Биология,4,Технология,5,Основы безопасности жизнедеятельности,2,Физическая культура,2,71,2,3.533333333333333,Выше среднего,"Геометрия, История России, География, Технология","Русский язык, Иностранный язык, Основы безопасности жизнедеятельности, Физическая культура",3,3.06
36,7,Ж,6,1,2,15,Русский язык,3,Литература,5,Иностранный язык,2,Алгебра,2,Геометрия,2,Информатика,3,История России,4,Всеобщая история,3,Обществознание,5,География,3,Физика,5,Музыка,4,Биология,5,Технология,5,Основы безопасности жизнедеятельности,3,Физическая культура,3,89,5,3.533333333333333,Выше среднего,"Литература, Обществознание, Физика, Биология, Технология","Иностранный язык, Алгебра, Геометрия",0,2.4
37,7,М,6,1,1,15,Русский язык,3,Литература,4,Иностранный язык,5,Алгебра,4,Геометрия,3,Информатика,4,История России,4,Всеобщая история,4,Обществознание,4,География,5,Физика,2,Музыка,3,Биология,5,Технология,2,Основы безопасности жизнедеятельности,4,Физическая культура,5,96,1,3.866666666666666,Выше среднего,"Иностранный язык, География, Биология, Физическая культура","Физика, Технология",3,1.46
38,7,М,5,2,4,14,Русский язык,4,Литература,5,Иностранный язык,3,Алгебра,5,Геометрия,5,Информатика,4,История России,4,Всеобщая история,3,Обществознание,4,География,2,Физика,5,Музыка,4,Биология,4,Технология,3,Основы безопасности жизнедеятельности,3,Физическая культура,4,67,4,3.866666666666666,Выше среднего,"Литература, Алгебра, Геометрия, Физика",География,2,3.65
39,7,Ж,5,2,3,14,Русский язык,3,Литература,5,Иностранный язык,3,Алгебра,4,Геометрия,5,Информатика,3,История России,4,Всеобщая история,2,Обществознание,5,География,3,Физика,3,Музыка,5,Биология,3,Технология,5,Основы безопасности жизнедеятельности,3,Физическая культура,4,94,5,3.6666666666666665,Выше среднего,"Литература, Геометрия, Обществознание, Технология",Всеобщая история,2,3.02
40,7,Ж,2,4,2,14,Русский язык,3,Литература,3,Иностранный язык,3,Алгебра,4,Геометрия,5,Информатика,4,История России,2,Всеобщая история,3,Обществознание,5,География,4,Физика,2,Музыка,4,Биология,5,Технология,2,Основы безопасности жизнедеятельности,4,Физическая культура,4,75,5,3.533333333333333,Выше среднего,"Геометрия, Обществознание, Биология","История России, Физика, Технология",0,3.43
41,7,Ж,8,1,3,14,Русский язык,3,Литература,3,Иностранный язык,4,Алгебра,3,Геометрия,5,Информатика,4,История России,4,Всеобщая история,4,Обществознание,3,География,4,Физика,2,Музыка,5,Биология,5,Технология,5,Основы безопасности жизнедеятельности,3,Физическая культура,5,97,2,3.8,Выше среднего,"Геометрия, Биология, Технология, Физическая культура",Физика,3,3.11
42,7,Ж,8,5,3,15,Русский язык,5,Литература,5,Иностранный язык,4,Алгебра,4,Геометрия,3,Информатика,5,История России,3,Всеобщая история,4,Обществознание,5,География,4,Физика,5,Музыка,5,Биология,3,Технология,5,Основы безопасности жизнедеятельности,5,Физическая культура,3,79,2,4.2,Выше среднего,"Русский язык, Литература, Информатика, Обществознание, Физика, Технология, Основы безопасности жизнедеятельности",,0,2.78
43,7,Ж,1,1,5,15,Русский язык,4,Литература,5,Иностранный язык,4,Алгебра,3,Геометрия,3,Информатика,3,История России,3,Всеобщая история,4,Обществознание,3,География,5,Физика,4,Музыка,4,Биология,3,Технология,5,Основы безопасности жизнедеятельности,3,Физическая культура,3,62,4,3.6666666666666665,Выше среднего,"Литература, География, Технология",,3,4.53
44,7,М,8,2,5,15,Русский язык,4,Литература,4,Иностранный язык,3,Алгебра,5,Геометрия,2,Информатика,3,История России,5,Всеобщая история,5,Обществознание,2,География,3,Физика,3,Музыка,5,Биология,5,Технология,4,Основы безопасности жизнедеятельности,4,Физическая культура,5,53,3,3.8,Выше среднего,"Алгебра, История России, Всеобщая история, Биология, Физическая культура","Геометрия, Обществознание",2,4.56
45,7,Ж,5,5,5,14,Русский язык,5,Литература,5,Иностранный язык,4,Алгебра,4,Геометрия,3,Информатика,4,История России,5,Всеобщая история,3,Обществознание,4,География,5,Физика,4,Музыка,3,Биология,5,Технология,5,Основы безопасности жизнедеятельности,5,Физическая культура,5,92,5,4.4,Выше среднего,"Русский язык, Литература, История России, География, Биология, Технология, Основы безопасности жизнедеятельности, Физическая культура",,3,3.5
46,7,М,2,0,2,15,Русский язык,2,Литература,2,Иностранный язык,2,Алгебра,3,Геометрия,4,Информатика,2,История России,5,Всеобщая история,4,Обществознание,5,География,3,Физика,4,Музыка,5,Биология,2,Технология,4,Основы безопасности жизнедеятельности,3,Физическая культура,5,76,2,3.333333333333333,Нуждается в улучшении,"История России, Обществознание, Физическая культура","Русский язык, Литература, Иностранный язык, Информатика, Биология",2,2.44
47,7,М,2,0,3,14,Русский язык,5,Литература,3,Иностранный язык,2,Алгебра,4,Геометрия,3,Информатика,4,История России,3,Всеобщая история,3,Обществознание,5,География,5,Физика,3,Музыка,3,Биология,5,Технология,3,Основы безопасности жизнедеятельности,3,Физическая культура,4,89,3,3.6666666666666665,Выше среднего,"Русский язык, Обществознание, География, Биология",Иностранный язык,0,3.09
48,7,М,6,3,1,15,Русский язык,4,Литература,4,Иностранный язык,4,Алгебра,5,Геометрия,4,Информатика,2,История России,5,Всеобщая история,2,Обществознание,2,География,3,Физика,4,Музыка,5,Биология,4,Технология,2,Основы безопасности жизнедеятельности,3,Физическая культура,4,59,5,3.466666666666667,Нуждается в улучшении,"Алгебра, История России","Информатика, Всеобщая история, Обществознание, Технология",2,1.81
49,7,Ж,9,2,4,15,Русский язык,3,Литература,4,Иностранный язык,3,Алгебра,3,Геометрия,2,Информатика,4,История России,4,Всеобщая история,4,Обществознание,5,География,4,Физика,3,Музыка,4,Биология,5,Технология,5,Основы безопасности жизнедеятельности,5,Физическая культура,4,93,5,3.866666666666666,Выше среднего,"Обществознание, Биология, Технология, Основы безопасности жизнедеятельности",Геометрия,0,3.6
