ID,Класс,Пол,Уровень тревожности (1-10),Пропуски занятий,Оценка отношений с учителями (1-5),Возраст,Русский язык,Литература,Иностранный язык,Математика,Алгебра,Геометрия,Информатика,История России,Всеобщая история,Обществознание,География,Физика,Химия,Биология,Музыка,Изобразительное искусство,Технология,Основы безопасности жизнедеятельности,Физическая культура,Когнитивные способности,Результаты анкет,Средний балл,Диагностика профиля способностей и достижений,Сильные стороны,Слабые стороны
1,5,М,3,3,3,12,5,4,4,3,,,4,3,2,4,2,,,4,4,2,5,4,3,97,1,3.6666666666666665,Выше среднего,"Русский язык, Технология","Всеобщая история, География"
2,5,Ж,6,3,3,13,3,2,2,3,,,4,4,4,3,2,,,5,4,3,5,2,3,84,4,3.25,Нуждается в улучшении,"Биология, Технология","Литература, Иностранный язык, География, Основы безопасности жизнедеятельности"
3,5,М,6,5,4,12,3,4,5,3,,,5,4,3,3,4,,,4,5,4,4,3,5,88,3,3.9166666666666665,Выше среднего,"Иностранный язык, Информатика, Физическая культура",
4,5,М,3,1,4,13,3,3,5,3,,,3,3,4,5,5,,,5,5,4,2,3,4,68,1,3.75,Выше среднего,"Иностранный язык, Обществознание, География, Биология",Технология
5,5,М,7,5,4,13,3,3,4,2,,,3,4,4,5,5,,,3,5,5,4,4,2,96,3,3.6666666666666665,Выше среднего,"Обществознание, География",Физическая культура
6,5,Ж,3,1,3,12,5,5,4,4,,,4,3,2,3,4,,,5,5,5,4,5,3,61,3,3.9166666666666665,Выше среднего,"Русский язык, Литература, Биология, Основы безопасности жизнедеятельности",Всеобщая история
7,5,М,8,2,4,13,5,2,5,4,,,3,2,4,5,3,,,4,4,4,5,4,3,83,5,3.75,Выше среднего,"Русский язык, Иностранный язык, Обществознание, Технология","Литература, История России"
8,5,М,10,3,1,12,4,3,4,4,,,5,5,5,4,3,,,2,5,2,3,4,4,94,4,3.8333333333333335,Выше среднего,"Информатика, История России, Всеобщая история",Биология
9,5,М,4,3,5,12,2,2,3,4,,,3,4,5,5,5,,,2,4,3,4,4,4,69,5,3.5833333333333335,Выше среднего,"Всеобщая история, Обществознание, География","Русский язык, Литература, Биология"
10,5,Ж,1,2,5,12,3,2,3,4,,,4,4,3,4,4,,,3,3,3,4,3,4,56,2,3.4166666666666665,Нуждается в улучшении,,Литература
