ID,Класс,Пол,Уровень тревожности (1-10),Пропуски занятий,Оценка отношений с учителями (1-5),Возраст,Предмет_1,Оценка_1,Предмет_2,Оценка_2,Предмет_3,Оценка_3,Предмет_4,Оценка_4,Предмет_5,Оценка_5,Предмет_6,Оценка_6,Предмет_7,Оценка_7,Предмет_8,Оценка_8,Предмет_9,Оценка_9,Предмет_10,Оценка_10,Предмет_11,Оценка_11,Предмет_12,Оценка_12,Предмет_13,Оценка_13,Предмет_14,Оценка_14,Предмет_15,Оценка_15,Предмет_16,Оценка_16,Когнитивные способности,Результаты анкет,Средний балл,Диагностика профиля способностей и достижений,Сильные стороны,Слабые стороны
1,7,М,3,4,2,15,Русский язык,3,Литература,4,Иностранный язык,4,Алгебра,5,Геометрия,4,Информатика,4,История России,5,Всеобщая история,4,Обществознание,4,География,5,Физика,2,Музыка,4,Биология,5,Технология,4,Основы безопасности жизнедеятельности,2,Физическая культура,4,69,2,3.933333333333333,Выше среднего,"Алгебра, История России, География, Биология","Физика, Основы безопасности жизнедеятельности"
2,7,Ж,9,0,1,14,Русский язык,2,Литература,3,Иностранный язык,2,Алгебра,4,Геометрия,5,Информатика,4,История России,4,Всеобщая история,4,Обществознание,3,География,3,Физика,3,Музыка,5,Биология,3,Технология,5,Основы безопасности жизнедеятельности,3,Физическая культура,3,58,5,3.4,Нуждается в улучшении,"Геометрия, Технология","Русский язык, Иностранный язык"
3,7,Ж,5,4,3,15,Русский язык,2,Литература,3,Иностранный язык,4,Алгебра,5,Геометрия,5,Информатика,4,История России,5,Всеобщая история,5,Обществознание,4,География,5,Физика,4,Музыка,4,Биология,5,Технология,3,Основы безопасности жизнедеятельности,5,Физическая культура,2,80,1,4.066666666666666,Выше среднего,"Алгебра, Геометрия, История России, Всеобщая история, География, Биология, Основы безопасности жизнедеятельности","Русский язык, Физическая культура"
4,7,Ж,3,1,5,15,Русский язык,5,Литература,4,Иностранный язык,4,Алгебра,5,Геометрия,5,Информатика,5,История России,3,Всеобщая история,4,Обществознание,4,География,2,Физика,3,Музыка,4,Биология,3,Технология,2,Основы безопасности жизнедеятельности,2,Физическая культура,3,95,5,3.6,Выше среднего,"Русский язык, Алгебра, Геометрия, Информатика","География, Технология, Основы безопасности жизнедеятельности"
5,7,М,1,3,5,14,Русский язык,4,Литература,4,Иностранный язык,5,Алгебра,3,Геометрия,5,Информатика,5,История России,4,Всеобщая история,5,Обществознание,5,География,4,Физика,3,Музыка,3,Биология,5,Технология,4,Основы безопасности жизнедеятельности,3,Физическая культура,5,77,3,4.266666666666667,Выше среднего,"Иностранный язык, Геометрия, Информатика, Всеобщая история, Обществознание, Биология, Физическая культура",
6,7,М,10,1,2,14,Русский язык,4,Литература,3,Иностранный язык,3,Алгебра,2,Геометрия,3,Информатика,5,История России,5,Всеобщая история,2,Обществознание,2,География,4,Физика,4,Музыка,4,Биология,3,Технология,4,Основы безопасности жизнедеятельности,5,Физическая культура,5,84,3,3.6,Выше среднего,"Информатика, История России, Основы безопасности жизнедеятельности, Физическая культура","Алгебра, Всеобщая история, Обществознание"
7,7,М,6,4,2,15,Русский язык,5,Литература,5,Иностранный язык,4,Алгебра,2,Геометрия,4,Информатика,5,История России,2,Всеобщая история,2,Обществознание,5,География,4,Физика,5,Музыка,4,Биология,3,Технология,3,Основы безопасности жизнедеятельности,2,Физическая культура,3,89,5,3.6,Выше среднего,"Русский язык, Литература, Информатика, Обществознание, Физика","Алгебра, История России, Всеобщая история, Основы безопасности жизнедеятельности"
8,7,Ж,2,0,3,15,Русский язык,4,Литература,5,Иностранный язык,5,Алгебра,3,Геометрия,4,Информатика,3,История России,5,Всеобщая история,5,Обществознание,5,География,5,Физика,5,Музыка,3,Биология,2,Технология,4,Основы безопасности жизнедеятельности,2,Физическая культура,2,87,3,3.933333333333333,Выше среднего,"Литература, Иностранный язык, История России, Всеобщая история, Обществознание, География, Физика","Биология, Основы безопасности жизнедеятельности, Физическая культура"
9,7,Ж,3,2,1,14,Русский язык,4,Литература,5,Иностранный язык,3,Алгебра,4,Геометрия,3,Информатика,4,История России,3,Всеобщая история,2,Обществознание,5,География,5,Физика,5,Музыка,3,Биология,3,Технология,2,Основы безопасности жизнедеятельности,2,Физическая культура,3,93,2,3.533333333333333,Выше среднего,"Литература, Обществознание, География, Физика","Всеобщая история, Технология, Основы безопасности жизнедеятельности"
10,7,Ж,1,5,5,14,Русский язык,5,Литература,3,Иностранный язык,2,Алгебра,5,Геометрия,3,Информатика,4,История России,5,Всеобщая история,3,Обществознание,4,География,5,Физика,4,Музыка,2,Биология,3,Технология,4,Основы безопасности жизнедеятельности,4,Физическая культура,5,51,3,3.933333333333333,Выше среднего,"Русский язык, Алгебра, История России, География, Физическая культура",Иностранный язык
11,7,М,9,5,3,15,Русский язык,2,Литература,5,Иностранный язык,5,Алгебра,5,Геометрия,2,Информатика,4,История России,3,Всеобщая история,4,Обществознание,4,География,3,Физика,3,Музыка,2,Биология,4,Технология,3,Основы безопасности жизнедеятельности,5,Физическая культура,2,52,2,3.6,Выше среднего,"Литература, Иностранный язык, Алгебра, Основы безопасности жизнедеятельности","Русский язык, Геометрия, Физическая культура"
12,7,Ж,8,4,4,15,Русский язык,3,Литература,3,Иностранный язык,4,Алгебра,2,Геометрия,5,Информатика,4,История России,3,Всеобщая история,5,Обществознание,5,География,4,Физика,4,Музыка,2,Биология,5,Технология,2,Основы безопасности жизнедеятельности,4,Физическая культура,4,63,4,3.8,Выше среднего,"Геометрия, Всеобщая история, Обществознание, Биология","Алгебра, Технология"
13,7,Ж,2,0,4,15,Русский язык,5,Литература,2,Иностранный язык,4,Алгебра,5,Геометрия,3,Информатика,2,История России,2,Всеобщая история,3,Обществознание,4,География,4,Физика,3,Музыка,3,Биология,3,Технология,5,Основы безопасности жизнедеятельности,2,Физическая культура,3,66,1,3.3333333333333335,Нуждается в улучшении,"Русский язык, Алгебра, Технология","Литература, Информатика, История России, Основы безопасности жизнедеятельности"
14,7,Ж,8,3,3,14,Русский язык,5,Литература,5,Иностранный язык,4,Алгебра,3,Геометрия,5,Информатика,2,История России,5,Всеобщая история,2,Обществознание,4,География,2,Физика,2,Музыка,3,Биология,3,Технология,4,Основы безопасности жизнедеятельности,3,Физическая культура,4,84,1,3.533333333333333,Выше среднего,"Русский язык, Литература, Геометрия, История России","Информатика, Всеобщая история, География, Физика"
